building_name,city,province,region,country,window_count,window_type,access_method,service_type,frequency,labour_rate_cad,margin_pct,base_minutes_per_window,service_multiplier,access_multiplier,frequency_discount,total_labour_minutes,labour_cost_cad,materials_cost_cad,subtotal_cad,margin_amount_cad,final_price_cad,per_window_cost_cad,visits_per_year,annual_total_cad
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,one_time,20.0,25.0,6,0.45,1.0,1.0,32.4,10.8,0.86,11.66,2.92,14.58,1.22,1,14.58
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,one_time,20.0,30.0,6,0.45,1.0,1.0,32.4,10.8,0.86,11.66,3.5,15.16,1.26,1,15.16
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,one_time,20.0,35.0,6,0.45,1.0,1.0,32.4,10.8,0.86,11.66,4.08,15.75,1.31,1,15.75
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,one_time,20.0,40.0,6,0.45,1.0,1.0,32.4,10.8,0.86,11.66,4.67,16.33,1.36,1,16.33
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,one_time,22.0,25.0,6,0.45,1.0,1.0,32.4,11.88,0.95,12.83,3.21,16.04,1.34,1,16.04
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,one_time,22.0,30.0,6,0.45,1.0,1.0,32.4,11.88,0.95,12.83,3.85,16.68,1.39,1,16.68
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,one_time,22.0,35.0,6,0.45,1.0,1.0,32.4,11.88,0.95,12.83,4.49,17.32,1.44,1,17.32
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,one_time,22.0,40.0,6,0.45,1.0,1.0,32.4,11.88,0.95,12.83,5.13,17.96,1.5,1,17.96
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,one_time,24.0,25.0,6,0.45,1.0,1.0,32.4,12.96,1.04,14.0,3.5,17.5,1.46,1,17.5
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,one_time,24.0,30.0,6,0.45,1.0,1.0,32.4,12.96,1.04,14.0,4.2,18.2,1.52,1,18.2
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,one_time,24.0,35.0,6,0.45,1.0,1.0,32.4,12.96,1.04,14.0,4.9,18.9,1.57,1,18.9
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,one_time,24.0,40.0,6,0.45,1.0,1.0,32.4,12.96,1.04,14.0,5.6,19.6,1.63,1,19.6
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,one_time,26.0,25.0,6,0.45,1.0,1.0,32.4,14.04,1.12,15.16,3.79,18.95,1.58,1,18.95
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,one_time,26.0,30.0,6,0.45,1.0,1.0,32.4,14.04,1.12,15.16,4.55,19.71,1.64,1,19.71
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,one_time,26.0,35.0,6,0.45,1.0,1.0,32.4,14.04,1.12,15.16,5.31,20.47,1.71,1,20.47
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,one_time,26.0,40.0,6,0.45,1.0,1.0,32.4,14.04,1.12,15.16,6.07,21.23,1.77,1,21.23
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,quarterly,20.0,25.0,6,0.45,1.0,0.9,32.4,9.72,0.78,10.5,2.62,13.12,1.09,4,52.49
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,quarterly,20.0,30.0,6,0.45,1.0,0.9,32.4,9.72,0.78,10.5,3.15,13.65,1.14,4,54.59
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,quarterly,20.0,35.0,6,0.45,1.0,0.9,32.4,9.72,0.78,10.5,3.67,14.17,1.18,4,56.69
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,quarterly,20.0,40.0,6,0.45,1.0,0.9,32.4,9.72,0.78,10.5,4.2,14.7,1.22,4,58.79
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,quarterly,22.0,25.0,6,0.45,1.0,0.9,32.4,10.69,0.86,11.55,2.89,14.43,1.2,4,57.74
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,quarterly,22.0,30.0,6,0.45,1.0,0.9,32.4,10.69,0.86,11.55,3.46,15.01,1.25,4,60.05
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,quarterly,22.0,35.0,6,0.45,1.0,0.9,32.4,10.69,0.86,11.55,4.04,15.59,1.3,4,62.36
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,quarterly,22.0,40.0,6,0.45,1.0,0.9,32.4,10.69,0.86,11.55,4.62,16.17,1.35,4,64.67
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,quarterly,24.0,25.0,6,0.45,1.0,0.9,32.4,11.66,0.93,12.6,3.15,15.75,1.31,4,62.99
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,quarterly,24.0,30.0,6,0.45,1.0,0.9,32.4,11.66,0.93,12.6,3.78,16.38,1.36,4,65.51
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,quarterly,24.0,35.0,6,0.45,1.0,0.9,32.4,11.66,0.93,12.6,4.41,17.01,1.42,4,68.02
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,quarterly,24.0,40.0,6,0.45,1.0,0.9,32.4,11.66,0.93,12.6,5.04,17.64,1.47,4,70.54
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,quarterly,26.0,25.0,6,0.45,1.0,0.9,32.4,12.64,1.01,13.65,3.41,17.06,1.42,4,68.23
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,quarterly,26.0,30.0,6,0.45,1.0,0.9,32.4,12.64,1.01,13.65,4.09,17.74,1.48,4,70.96
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,quarterly,26.0,35.0,6,0.45,1.0,0.9,32.4,12.64,1.01,13.65,4.78,18.42,1.54,4,73.69
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,quarterly,26.0,40.0,6,0.45,1.0,0.9,32.4,12.64,1.01,13.65,5.46,19.11,1.59,4,76.42
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,monthly,20.0,25.0,6,0.45,1.0,0.8,32.4,8.64,0.69,9.33,2.33,11.66,0.97,12,139.97
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,monthly,20.0,30.0,6,0.45,1.0,0.8,32.4,8.64,0.69,9.33,2.8,12.13,1.01,12,145.57
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,monthly,20.0,35.0,6,0.45,1.0,0.8,32.4,8.64,0.69,9.33,3.27,12.6,1.05,12,151.17
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,monthly,20.0,40.0,6,0.45,1.0,0.8,32.4,8.64,0.69,9.33,3.73,13.06,1.09,12,156.76
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,monthly,22.0,25.0,6,0.45,1.0,0.8,32.4,9.5,0.76,10.26,2.57,12.83,1.07,12,153.96
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,monthly,22.0,30.0,6,0.45,1.0,0.8,32.4,9.5,0.76,10.26,3.08,13.34,1.11,12,160.12
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,monthly,22.0,35.0,6,0.45,1.0,0.8,32.4,9.5,0.76,10.26,3.59,13.86,1.15,12,166.28
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,monthly,22.0,40.0,6,0.45,1.0,0.8,32.4,9.5,0.76,10.26,4.11,14.37,1.2,12,172.44
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,monthly,24.0,25.0,6,0.45,1.0,0.8,32.4,10.37,0.83,11.2,2.8,14.0,1.17,12,167.96
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,monthly,24.0,30.0,6,0.45,1.0,0.8,32.4,10.37,0.83,11.2,3.36,14.56,1.21,12,174.68
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,monthly,24.0,35.0,6,0.45,1.0,0.8,32.4,10.37,0.83,11.2,3.92,15.12,1.26,12,181.4
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,monthly,24.0,40.0,6,0.45,1.0,0.8,32.4,10.37,0.83,11.2,4.48,15.68,1.31,12,188.12
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,monthly,26.0,25.0,6,0.45,1.0,0.8,32.4,11.23,0.9,12.13,3.03,15.16,1.26,12,181.96
